-3,-45,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-2,-45,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-3,-47,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-3,-46,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-1,-48,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-4,-46,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-2,-48,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-2,-46,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-1,-47,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-1,-46,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-2,-47,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-1,-45,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-4,-48,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-4,-47,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-3,-48,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
-4,-45,lRvnU6cwh/rTn4TR8tFuDYf3WRg=,SVvzGDJDJg6PxgUsAdwTXP53auM=
